# filename total_packets tcp_packets udp_packets total_bytes connections dns_queries dns_responses
faith-local-x100-tcp-seq10-6 700 700 0 1429160 10 0 0
faith-local-x100-tcp-seq10-5 698 698 0 1429014 10 0 0
faith-local-x100-tcp-seq25-0 230 230 0 444109 0 0 0
faith-local-x100-tcp-seq25-3 498 498 0 1097504 0 0 0
faith-local-x100-tcp-seq10-9 700 700 0 1429160 10 0 0
faith-local-x100-tcp-seq25-4 847 847 0 1439102 25 0 0
faith-local-x100-tcp-seq25-2 810 810 0 1436660 25 0 0
faith-local-x100-tcp-seq25-1 817 817 0 1437122 25 0 0
faith-local-x100-tcp-seq25-5 375 375 0 693862 0 0 0
faith-local-x100-tcp-seq25-6 845 845 0 1438970 25 0 0
faith-local-x100-tcp-seq25-8 807 807 0 1422634 25 0 0
faith-local-x100-tcp-seq25-9 0 0 0 0 0 0 0
faith-local-x100-tcp-seq50-1 0 0 0 0 0 0 0
faith-local-x100-tcp-seq50-3 52 52 0 30827 0 0 0
faith-local-x100-tcp-seq50-2 466 466 0 818529 0 0 0
faith-local-x100-tcp-seq25-7 846 846 0 1439036 25 0 0
faith-local-x100-tcp-seq50-0 1066 1066 0 1435955 50 0 0
faith-local-x100-tcp-seq50-5 1062 1062 0 1416438 50 0 0
native-google-x1-tcp-0 29 27 2 19924 1 0 2
faith-local-x100-tcp-seq50-8 1029 1029 0 1451507 50 0 0
faith-local-x100-tcp-seq50-4 860 860 0 1206552 29 0 0
faith-local-x100-tcp-seq50-9 476 476 0 860832 2 0 0
faith-local-x100-tcp-seq50-6 613 613 0 925674 14 0 0
native-google-x1-tcp-1 32 28 4 20330 1 2 2
faith-local-x100-tcp-seq50-7 514 514 0 919140 14 0 0
native-google-x1-tcp-2 31 27 4 20074 1 2 2
native-google-x1-tcp-5 49 45 4 39891 1 2 2
native-google-x1-tcp-4 31 27 4 20154 1 2 2
native-google-x1-tcp-3 32 28 4 20160 1 2 2
native-google-x1-tcp-9 33 29 4 20355 1 2 2
native-google-x1-tcp-8 32 28 4 20136 1 2 2
native-google-x1-tcp-7 31 27 4 19883 1 2 2
native-google-x1-tcp-6 32 28 4 20178 1 2 2
native-google-x10-tcp-1 149 145 4 117255 1 2 2
native-google-x10-tcp-4 173 169 4 137007 1 2 2
native-google-x10-tcp-0 171 167 4 137740 1 2 2
native-google-x10-tcp-2 168 164 4 137711 1 2 2
native-google-x10-tcp-5 211 207 4 177640 1 2 2
native-google-x10-tcp-3 170 166 4 137383 1 2 2
native-google-x10-tcp-9 208 204 4 176760 1 2 2
native-google-x10-tcp-7 165 161 4 136579 1 2 2
native-google-x10-tcp-6 176 172 4 137219 1 2 2
native-google-x10-tcp-8 171 167 4 136997 1 2 2
native-google-x100-tcp-seq1-0 1648 1644 4 1405844 1 2 2
native-google-x100-tcp-seq1-3 1546 1542 4 1304406 1 2 2
native-google-x100-tcp-seq1-2 1495 1491 4 1247993 1 2 2
native-google-x100-tcp-seq1-1 1430 1426 4 1168444 1 2 2
native-google-x100-tcp-seq1-4 1586 1582 4 1327672 1 2 2
native-google-x100-tcp-seq10-0 1754 1714 40 1396107 10 20 20
native-google-x100-tcp-seq10-1 1860 1820 40 1345002 10 20 20
native-google-x100-tcp-seq1-9 1554 1550 4 1307070 1 2 2
native-google-x100-tcp-seq1-5 1641 1637 4 1386144 1 2 2
native-google-x100-tcp-seq1-6 1636 1632 4 1385586 1 2 2
native-google-x100-tcp-seq1-7 1594 1590 4 1345253 1 2 2
native-google-x100-tcp-seq1-8 1530 1526 4 1287193 1 2 2
native-google-x100-tcp-seq10-3 1711 1671 40 1363106 10 20 20
native-google-x100-tcp-seq10-4 1963 1919 44 1438223 11 22 22
native-google-x100-tcp-seq10-5 1654 1614 40 1332780 10 20 20
native-google-x100-tcp-seq10-2 2086 2026 60 1522234 15 30 30
native-google-x100-tcp-seq10-7 2088 2044 44 1519896 11 22 22
native-google-x100-tcp-seq10-8 1836 1792 44 1412964 11 22 22
native-google-x100-tcp-seq25-0 2313 2213 100 1608878 25 50 50
native-google-x100-tcp-seq10-6 2367 2299 68 1649940 17 34 34
native-google-x100-tcp-seq10-9 1707 1667 40 1352815 10 20 20
native-google-x100-tcp-seq50-3 3567 3359 208 1756556 52 104 104
native-google-x100-tcp-seq25-6 3540 3400 140 2207368 35 70 70
native-google-x100-tcp-seq50-0 2309 2109 200 1658154 50 100 100
native-google-x100-tcp-seq50-5 1997 1793 204 1035192 51 102 102
native-google-x100-tcp-seq50-4 2000 1788 212 1044455 53 106 106
native-google-x100-tcp-seq25-2 2328 2224 104 1624881 26 52 52
native-google-x100-tcp-seq50-6 1961 1757 204 1032779 51 102 102
native-google-x100-tcp-seq25-7 3135 2983 152 1947100 38 76 76
native-google-x100-tcp-seq50-7 1991 1779 212 1043856 53 106 106
native-google-x100-tcp-seq25-8 2393 2289 104 1652291 26 52 52
node-fetch-google-x1-tcp-0 44 36 8 20265 2 4 4
node-fetch-google-x1-tcp-2 45 37 8 20330 2 4 4
native-google-x100-tcp-seq50-8 2007 1799 208 1043958 52 104 104
node-fetch-google-x1-tcp-1 45 37 8 20330 2 4 4
native-google-x100-tcp-seq50-9 1980 1772 208 1038626 52 104 104
node-fetch-google-x1-tcp-3 44 36 8 20265 2 4 4
node-fetch-google-x1-tcp-4 44 36 8 20275 2 4 4
node-fetch-google-x1-tcp-6 44 36 8 20263 2 4 4
node-fetch-google-x1-tcp-9 45 37 8 20330 2 4 4
node-fetch-google-x1-tcp-5 45 37 8 20331 2 4 4
node-fetch-google-x1-tcp-7 44 36 8 20265 2 4 4
node-fetch-google-x1-tcp-8 45 37 8 20331 2 4 4
node-fetch-google-x10-tcp-0 268 224 44 118981 11 22 22
